,,,lr,lr,lr,lr,lr,lr,lr
K,,,2,4,8,16,32,64,128
model,dataset,method,,,,,,,
convnet,cifar10,cc,lr1e-4,lr1e-4,lr1e-4,,,,
convnet,cifar10,ccapp,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4
convnet,cifar10,dllp,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-5
convnet,cifar10,llpfc,lr1e-4,lr1e-3,lr1e-4,lr1e-3,lr1e-4,lr1e-4,lr1e-5
convnet,cifar10,ot,lr1e-4,lr1e-3,lr1e-3,lr1e-3,lr1e-4,lr1e-5,lr1e-5
convnet,cifar10,pll,lr1e-4,lr1e-4,lr1e-4,lr1e-3,lr1e-5,lr1e-3,lr1e-3
convnet,cifar10,rc,lr1e-3,lr1e-4,lr1e-4,,,,
convnet,cifar10,rcapp,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-5
convnet,cifar10,supervised,lr1e-4,,,,,,
linear,fmnist,cc,lr1e-4,lr1e-4,lr1e-1,,,,
linear,fmnist,ccapp,lr1e-4,lr1e-4,lr1e-1,lr1e-3,lr1e-4,lr1e-4,lr1e-1
linear,fmnist,dllp,lr1e-4,lr1e-1,lr1e-1,lr1e-3,lr1e-4,lr1e-4,lr1e-1
linear,fmnist,llpfc,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4
linear,fmnist,ot,lr1e-3,lr1e-3,lr1e-4,lr1e-3,lr1e-3,lr1e-3,lr1e-3
linear,fmnist,pll,lr1e-1,lr1e-2,lr1e-1,lr1e-1,lr1e-1,lr1e-1,lr1e-2
linear,fmnist,rc,lr1e-2,lr1e-2,lr1e-2,,,,
linear,fmnist,rcapp,lr1e-4,lr1e-4,lr1e-2,lr1e-2,lr1e-3,lr1e-3,lr1e-3
linear,fmnist,supervised,lr1e-4,,,,,,
linear,kmnist,cc,lr1e-4,lr1e-4,lr1e-4,,,,
linear,kmnist,ccapp,lr1e-4,lr1e-4,lr1e-4,lr1e-2,lr1e-3,lr1e-3,lr1e-3
linear,kmnist,dllp,lr1e-4,lr1e-4,lr1e-3,lr1e-2,lr1e-3,lr1e-4,lr1e-3
linear,kmnist,llpfc,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-4,lr1e-4,lr1e-4
linear,kmnist,ot,lr1e-3,lr1e-3,lr1e-4,lr1e-3,lr1e-3,lr1e-3,lr1e-3
linear,kmnist,pll,lr1e-2,lr1e-2,lr1e-1,lr1e-1,lr1e-1,lr1e-2,lr1e-2
linear,kmnist,rc,lr1e-4,lr1e-4,lr1e-4,,,,
linear,kmnist,rcapp,lr1e-4,lr1e-4,lr1e-4,lr1e-2,lr1e-3,lr1e-3,lr1e-3
linear,kmnist,supervised,lr1e-5,,,,,,
linear,mnist,cc,lr1e-4,lr1e-4,lr1e-4,,,,
linear,mnist,ccapp,lr1e-4,lr1e-4,lr1e-4,lr1e-2,lr1e-3,lr1e-3,lr1e-3
linear,mnist,dllp,lr1e-4,lr1e-4,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-3
linear,mnist,llpfc,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-4,lr1e-4,lr1e-4
linear,mnist,ot,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-3
linear,mnist,pll,lr1e-1,lr1e-1,lr1e-1,lr1e-1,lr1e-1,lr1e-2,lr1e-1
linear,mnist,rc,lr1e-4,lr1e-4,lr1e-4,,,,
linear,mnist,rcapp,lr1e-4,lr1e-4,lr1e-4,lr1e-1,lr1e-3,lr1e-3,lr1e-3
linear,mnist,supervised,lr1e-4,,,,,,
mlp,fmnist,cc,lr1e-3,lr1e-4,lr1e-4,,,,
mlp,fmnist,ccapp,lr1e-3,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4
mlp,fmnist,dllp,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4,lr1e-4
mlp,fmnist,llpfc,lr1e-3,lr1e-3,lr1e-6,lr1e-6,lr1e-6,lr1e-6,lr1e-4
mlp,fmnist,ot,lr1e-3,lr1e-4,lr1e-4,lr1e-4,lr1e-3,lr1e-3,lr1e-4
mlp,fmnist,pll,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-3
mlp,fmnist,rc,lr1e-3,lr1e-4,lr1e-4,,,,
mlp,fmnist,rcapp,lr1e-4,lr1e-3,lr1e-4,lr1e-4,lr1e-3,lr1e-4,lr1e-4
mlp,fmnist,supervised,lr1e-4,,,,,,
